Address State,Latitude,Longitude
"17170 Davenport Street Omaha, NE 68118 ",41.2613421,-96.1829628
"3200 Las Vegas Boulevard South Las Vegas, NV 89109 ",36.1435845,-115.157541
"6671 Las Vegas Boulevard South Las Vegas, NV 89119 ",36.0723067,-115.1723885
"13945 South Virginia Street Reno, NV 89511 ",39.4464567,-119.7742999
"1500 S Willow Street Manchester, NH 03103 ",42.95538085,-71.43191006139628
"310 Daniel Webster Highway Nashua, NH 03060 ",42.7006655,-71.4362991
"99 Rockingham Park Boulevard Salem, NH 03079 ",42.76707194511935,-71.22520151371093
"400 Commons Way Bridgewater, NJ 08807 ",40.585999799999996,-74.61938439250449
"55 Parsonage Road Edison, NJ 08837 ",40.547764099999995,-74.33630091472197
"150 Quaker Bridge Mall Lawrence Township, NJ 08648 ",40.2912881,-74.68156624641594
"500 Route 73 South Marlton, NJ 08053 ",39.900340885248184,-74.9332153793693
"1 Garden State Plaza Paramus, NJ 07652 ",40.9465017,-74.0679829
"301 Mt. Hope Avenue Rockaway, NJ 07866 ",40.9071977,-74.55400060826116
"1400 Willowbrook Mall Wayne, NJ 07470 ",40.88890805,-74.2596652290872
"441 Chestnut Ridge Road Woodcliff Lake, NJ 07677 ",41.0433649967716,-74.07269134682082
"2240 Q Street NE Albuquerque, NM 87110 ",35.1020296,-106.5674065
"1 Crossgates Mall Road Albany, NY 12203 ",42.6903291,-73.8527428
"247 Bedford Avenue Brooklyn, NY 11211 ",40.7156238,-73.959899
"123 Flatbush Avenue Brooklyn, NY 11217-1483 ",40.6855893,-73.9782267
"90-15 Queens Boulevard Elmhurst, NY 11373 ",40.73459645,-73.87001159452466
"630 Old Country Road Garden City, NY 11530 ",40.737659,-73.644938
"516 Smith Haven Mall Lake Grove, NY 11755 ",40.8632875,-73.1275288
"1900 Northern Boulevard Manhasset, NY 11030 ",40.79495255,-73.67681327194477
"8115 Fashion Drive Nanuet, NY 10954 ",41.0958798,-74.0162836
"185 Greenwich Street New York, NY 10007 ",40.7117673,-74.0116509
"2655 Richmond Avenue Staten Island, NY 10314 ",40.5818639,-74.16602493545716
"1 Destiny USA Drive Syracuse, NY 13204 ",43.069966,-76.1728684
"125 Westchester Avenue White Plains, NY 10601 ",41.0336516,-73.7625879
"143 Market Street Yonkers, NY 10710 ",40.96436629032258,-73.85657470967742
"6801 Northlake Mall Drive Charlotte, NC 28216 ",35.35214465,-80.84994374805905
"4400 Sharon Road Charlotte, NC 28211 ",35.151159,-80.828861
"8030 Renaissance Parkway Durham, NC 27713 ",35.905225400000006,-78.94571006839868
"3320 West Friendly Avenue Greensboro, NC 27410 ",36.0910098,-79.8744541
"4325 Glenwood Avenue Raleigh, NC 27612 ",35.8402304,-78.679418
"3265 West Market Street Akron, OH 44333 ",41.0855607,-81.5185946
"4422 Cedar Park Drive Beavercreek, OH 45440 ",39.69424575,-84.10206495833333
"7875 Montgomery Road Cincinnati, OH 45236 ",39.1394038,-84.4741162
"4210 The Strand Columbus, OH 43219 ",40.054021000000006,-82.91478284826562
"1500 Polaris Parkway Columbus, OH 43240 ",40.145905,-82.9803245
"5001 Monroe Street Toledo, OH 43623 ",41.69776706575533,-83.6411262917737
"267 Crocker Park Boulevard Westlake, OH 44145 ",41.4597577,-81.9504701
"28849 Chagrin Boulevard Woodmere, OH 44122 ",41.462436,-81.47448633333333
"7021 S. Memorial Drive Tulsa, OK 74133 ",36.0627169,-95.8803001
"450 SW Yamhill Street Portland, OR 97204 ",45.51785495,-122.67752608405468
"7293 SW Bridgeport Road Tigard, OR 97224 ",45.396786199999994,-122.75186158679128
"9585 SW Washington Square Road Tigard, OR 97223 ",45.451156600000004,-122.78162792772622
"61 St. James Place Ardmore, PA 19003 ",40.0087836,-75.28792027123421
"160 N. Gulph Road King of Prussia, PA 19406 ",40.08553491957029,-75.39328903634858
"1607 Walnut Street Philadelphia, PA 19103 ",39.9500355,-75.16789538273429
"1000 Ross Park Mall Drive Pittsburgh, PA 15237 ",40.5435752,-80.0084536
"5508 Walnut Street Pittsburgh, PA 15232 ",40.451174,-79.933514
"250 Lehigh Valley Mall Whitehall, PA 18052 ",40.6301105,-75.479774
"2500 West Moreland Road Willow Grove, PA 19090 ",40.1407714,-75.1244342
"20 Providence Place Providence, RI 02903 ",41.827429854466956,-71.41770560319976
"301 King Street Charleston, SC 29401 ",32.7834188,-79.9347775
"700 Haywood Road Greenville, SC 29607 ",34.849582549999994,-82.33315889539456
"1800 Galleria Boulevard Franklin, TN 37067 ",35.9573531,-86.8139062
"2031 West Street Germantown, TN 38138 ",35.09308812504137,-89.811632690734
"7600 Kingston Pike Knoxville, TN 37919 ",35.9246672,-84.03735785644423
