,name,type,formed,Search Location,stage,company,acquired,Searchfund Index,searchWebsite,companyWebsite,industry,Acquistion Location,searchers,investors,associates,Search Length,search long,search lat,acquisition lat,acquisition long,Miles Between Search and Acquisiton
590,Vira Capital  ,Traditional,2019-02-01,"Lima, Peru",Acquired,POLYSYSTEMS,2020-12-01,1132,https://www.viracapitalpartners.com/,https://polysistemas.com/,Technology,"Lima, Peru",'Julio Ramirez',"'Santiago Perez Teuffer', 'Mario Sicilia ', 'Jos Moreno'",,669,-77.0365256,-12.0621065,-12.0621065,-77.0365256,0.0
591,Colca Capital  ,Traditional,2018-01-01,Peru,Acquired,Polysistemas Corp S.A.C (record management),2020-12-10,973,http://colcacapital.com/,https://www.polysistemas.com/,Business Services,"Lima, Peru","'Nicolas Lulli', 'Diego Febrero Lira'","'Guillermo Zambrano', 'Angel Alvarez Cadavieco', 'Santiago Perez Teuffer', 'Mario Sicilia ', 'Sandro Mina', 'Martin Steber', 'Rameez Ansari ', 'Steve Lau '",,1074,-75.0458515,-6.8699697,-12.0621065,-77.0365256,383.52146312893615
592,Nextline  ,Traditional,2017-07-03,"Warsaw, Poland",Acquired,MotionVFX,2020-12-17,631,https://www.nextline-sf.com,https://www.motionvfx.com/,Software,"Å»ywiec, Polska","'Andrzej Basiukiewicz', 'Wojciech Korpal '","'Blake Winchell ', 'Sandro Mina', 'Martin Steber', 'Nicolas Lulli', 'Francisco Galiana ', 'Jos M. Jerz ', 'Jorge Maortua ', 'Marcelo Castro Zappa', 'Miguel  Albero ', 'Miguel Angel Cestero de Francisco '",,1263,21.0067249,52.2319581,NaN,NaN,NaN
593,K6 Succession  ,Traditional,2019-07-01,"Paris, France",Acquired,THEIA SAS,2020-12-17,1193,,www.theia.fr,Software,"Grenoble, France","'Sebastien Abdi', 'Flavien Reille'",,,535,2.3514616,48.8566969,45.1875602,5.7357819,299.3950003609576
594,Square Mile Financial  ,Self Funded,,"Hoboken, NJ, USA",Acquired,Industrial Water Treatment,2020-12-18,1537,,,Manufacturing,"New Jersey, USA",'Jonathan York',,,,-74.0323752,40.7433066,40.0757384,-74.4041622,50.10031689621759
595,WD Capital Holdings  ,Traditional,2020-03-14,"New York, NY, USA",Acquired,BPI Information Systems,2020-12-20,1405,http://www.wd-holdings.com/,https://www.bpiohio.com/,Business Services,"Brecksville, OH, USA","'Ross Butler', 'Kurt Freshley'",,,281,-74.0060152,40.7127281,41.3197763,-81.6267904,399.36716008888493
596,Broadtree Partners  ,Traditional,2018-07-01,"Atlanta, GA, USA",Acquired,Vital Care Industries (medical surgical supplies),2020-12-24,857,www.broadtreepartners.com,http://www.vitalcareindustries.com/,Manufacturing,"Tinley Park, IL, USA",'Mia Jackson',,,907,-84.3902644,33.7489924,NaN,NaN,NaN
597,Oca Capital Partners  ,Traditional,2019-07-15,"Itaim Bibi, São Paulo - State of São Paulo, 04531-020, Brazil",Acquired,NeoAssist,2021-01-01,1107,,https://www.neoassist.com/,Business Services,"São Paulo, São Paulo - State of São Paulo, Brazil",'Anna Moreira Bianchi',"'Jeff Stevens', 'Ashley Giesler', 'Keith Gross', 'Coley Andrews', 'Jos Stella', 'Rafael Somoza', 'Tushar Shah', 'Will Thorndike', 'Jamie Turner ', 'Sara Rosenthal', 'Jan Simon', 'Santiago Perez Teuffer', 'Mario Sicilia ', 'Javier Paez', 'Guillermo Zambrano', 'Angel Alvarez Cadavieco', 'Badge Stone', 'Macon Carroll', 'Rafael Bassani', 'Alexander Saller'",'Maryana Oliveira',536,-46.6784441,-23.5843807,-23.5506507,-46.6333824,3.684472629469404
598,KĀLA Capital (Kala)  ,Traditional,2018-07-01,Mexico,Acquired,Moneta Technologies,2021-01-01,926,https://www.kalacapital.mx/,https://moneta.com.mx/,,"Mexico City, CDMX, Mexico","'Jose Andres Labrador', 'Ricardo Canedo'","'Sandro Mina', 'Martin Steber', 'Nicolas Lulli', 'Miguel Angel Cestero de Francisco ', 'Jorge Maortua ', 'Miguel  Albero ', 'Marcelo Castro Zappa'",,915,-100.0000375,22.5000485,19.2667215,-99.1269583,230.3988948222032
599,Windward Management  ,Self Funded,2020-01-01,"Dallas, TX, USA",Acquired,Aerowave Technologies,2021-01-05,1781,www.windwardmanagementllc.com,www.aerowavetech.com,Technology,"Dallas, TX, USA",'William Young',,,370,-96.7968559,32.7762719,32.7762719,-96.7968559,0.0
600,FSJ Capital  ,Self Funded,2019-05-01,"London, UK",Acquired,High Hazels Nursery and Pre-School,2021-01-05,1131,https://www.fsjcapital.com,,,"Sheffield, UK",'Saadat Ahmed',,,615,-0.1276474,51.5073219,53.3806626,-1.4702278,141.24026100928506
601,West-Atlantic Partners  ,Traditional,2019-03-18,"Berkeley, CA, USA",Acquired,"PrecisionMed, Inc.",2021-01-18,1003,https://west-atlanticpartners.com/,https://www.precisionmed.com/,Healthcare,"Solana Beach, CA, USA","'Eric Leach', 'Anthony Runco'","'Richard Augustyn', 'Larry Dunn', 'Scott Alderman', 'Rameez Ansari ', 'Steve Lau '",,672,-122.23963364918777,37.8753497,32.9905597,-117.2691316,438.26513661543703
