,Acquisitions,Explore,Inactive,Raise,Search,Investments,Acquisition Rate,Failure Rate,Still Searching
 'Nabil El-Hage ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Jeffrey Evans ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'James Freedman ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Andreas Graham ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'James Higgins ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Arnaud Karsenti ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
" ""Paul O'Leary """,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Michael Rosenberg ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Rafael Somoza',34.0,1.0,2.0,0.0,9.0,46.0,0.7391304347826086,0.043478260869565216,0.21739130434782608
 'Jos Stella',35.0,1.0,2.0,0.0,9.0,47.0,0.7446808510638298,0.0425531914893617,0.2127659574468085
 'Jim Wilder',14.0,0.0,3.0,0.0,3.0,20.0,0.7,0.15,0.15
 'John Buttrick ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Phil Calian ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Stephen Clearman',9.0,0.0,4.0,0.0,11.0,24.0,0.375,0.16666666666666666,0.4583333333333333
 'William Cohan',3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0
 'Timothy Dunley ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'David Gabrieli ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Richard Vines ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Howard Philip Welt ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Steve Brown ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Jeff Goettman ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Paul Furlow',4.0,0.0,1.0,0.0,0.0,5.0,0.8,0.2,0.0
 'Chris Nassetta ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Jim Risoleo ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Bob Oster ',12.0,0.0,8.0,0.0,0.0,20.0,0.6,0.4,0.0
 'Kent Weaver',92.0,2.0,20.0,0.0,54.0,168.0,0.5476190476190477,0.11904761904761904,0.3333333333333333
 'Steve Lanter ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Martin Cagan ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Mike Cantonis ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Chris Clevenger ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Jay Kern ',2.0,0.0,1.0,0.0,0.0,3.0,0.6666666666666666,0.3333333333333333,0.0
 'Robert Dahl ',25.0,0.0,7.0,0.0,6.0,38.0,0.6578947368421053,0.18421052631578946,0.15789473684210525
 'Scott Grossman ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Daniel Henn ',2.0,0.0,0.0,0.0,2.0,4.0,0.5,0.0,0.5
 'Michael Aubrey ',3.0,0.0,0.0,0.0,1.0,4.0,0.75,0.0,0.25
 'Doug McCormick ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
'Ralph Vogel',2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
 'Joe Niehaus',45.0,0.0,11.0,0.0,17.0,73.0,0.6164383561643836,0.1506849315068493,0.2328767123287671
 'Rene Lajous',57.0,0.0,18.0,0.0,18.0,93.0,0.6129032258064516,0.1935483870967742,0.1935483870967742
 'Chris Sekula',35.0,0.0,13.0,0.0,3.0,51.0,0.6862745098039216,0.2549019607843137,0.058823529411764705
 'David Dodson',64.0,1.0,18.0,0.0,37.0,120.0,0.5333333333333333,0.15,0.31666666666666665
 'John Kephart ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Scott Asen',23.0,0.0,9.0,0.0,11.0,43.0,0.5348837209302325,0.20930232558139536,0.2558139534883721
'Todd MacLean ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Morgan Livermore ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Quadrant Capital Advisors ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Aaron Gabbart',24.0,0.0,8.0,0.0,3.0,35.0,0.6857142857142857,0.22857142857142856,0.08571428571428572
'Tim Ludwig',40.0,0.0,9.0,0.0,4.0,53.0,0.7547169811320755,0.16981132075471697,0.07547169811320754
'Robert Anderson ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Jaime Irick ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
'Bertram Scott ',1.0,0.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0
 'Earl F.Hilliard ',1.0,0.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0
 'Brian Holland ',1.0,0.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0
 'Lee Ciccarelli ',1.0,0.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0
 'Preston Polk ',1.0,0.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0
 'James Thornton ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Stephen Hurly ',1.0,0.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0
 'Joe McGhee',1.0,0.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0
 'Samuel J. Boyd Jr.',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Alexander Wit ',1.0,0.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0
 'Kenneth (Ken) Hunt ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
'Rafael Ramalho ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
