,name,type,formed,Search Location,stage,company,acquired,Searchfund Index,searchWebsite,companyWebsite,industry,Acquistion Location,searchers,investors,associates,Search Length,search long,search lat,acquisition lat,acquisition long,Miles Between Search and Acquisiton
1997,Monotis Capital i,Traditional,2020-05-04,"Victoria, Australia",Explore,,,1496,https://www.monotis.com.au/,,,,,,,,144.6780052,-36.5986096,NaN,NaN,NaN
1998,Succession Coast Capital,Self Funded,2020-12-14,"Emerald Isle, NC, USA",Explore,,,1752,www.successioncoastcapital.com,,,,,,,,-77.0382549,34.665333,NaN,NaN,NaN
1999,Bellwether Capital Partners  ,Traditional,2021-01-01,"Philadelphia, Pennsylvania, United States",Search,,,2008,https://www.bellwethercp.com/,,,,"'Pat Heath', 'Alex Sturges'","'Guillermo Zambrano', 'Angel Alvarez Cadavieco', 'Javier Paez'",,,-75.1635262,39.9527237,NaN,NaN,NaN
2000,Northgate Lane  ,Self Funded,2021-08-09,"Minneapolis, MN, USA",Search,,,2264,www.northgatelane.com,,,,'Tom Henrich',,,,-93.2654692,44.9772995,NaN,NaN,NaN
2001,Somontano Capital  ,Traditional,2018-09-01,"Barcelona, España",Search,,,985,"www.somontanocapital,com",,,,'Marc Lascorz',"'Jos Moreno', 'Jose M Cabiedes ', 'Mark Egan ', 'Alon Amar', 'Juan Luis Manaute', 'Marc Botet', 'Bill Egan ', 'manuel pardo'",,,2.1774322,41.3828939,NaN,NaN,NaN
2002,Besteagle Capital  ,Traditional,2019-09-08,"Madrid, Spagna",Explore,,,1241,,,,,'Massimo Benincampi',,,,-3.7035825,40.4167047,NaN,NaN,NaN
2003,Self Funded  ,Self Funded,,"Austin, TX, USA",Explore,,,1497,,,,,'Adam Gengler',,,,-97.7436995,30.2711286,NaN,NaN,NaN
2004,Succession Coast Capital  ,Self Funded,2020-12-14,"Emerald Isle, NC, USA",Search,,,1753,www.successioncoastcapital.com,,,,'Elisandro Patino',,,,-77.0382549,34.665333,NaN,NaN,NaN
2005,"Argyll & Co, LLC  ",Traditional,2020-08-01,"New Orleans, LA, USA",Search,,,2009,https://www.argyllandco.com/,,,,'Thomas Campbell',"'Timothy Bovard', 'Jeremy Silverman', 'Chris Fuller', 'Jay Madsen '",,,-90.0701156,29.9499323,NaN,NaN,NaN
2006,Davis Consulting Group  ,Traditional,,"Davis, CA, USA",Explore,,,2265,,,,,'Yifan Zhang',,,,-121.744583,38.545379,NaN,NaN,NaN
2007,Eagle Claw Investments LLC  ,Self Funded,2017-05-05,"Pittsburgh, PA, United States",Inactive,,,730,http://www.eagleclawinv.com/,,,,'Richard Donahue',"'Matt Vaccariello', 'Kathleen Wallach ', 'Thomas Donahue '","'Roberto de la Garza', 'Pat Cendes ', 'David Mitchell '",,-79.9900861,40.4416941,NaN,NaN,NaN
2008,Bastion Capital  ,Self Funded,2017-08-01,"Atlanta, GA, USA",Search,,,986,www.bastioncap.com,,,,'Samuel Kim',,,,-84.3902644,33.7489924,NaN,NaN,NaN
2009,Sultana Capital  ,Traditional,2019-09-01,"Monterrey, Nuevo Leon, Mexico",Search,,,1242,https://www.sultanacap.com/,,,,'Apolinar Toba',"'Jamie Turner ', 'Will Thorndike', 'Mark Hilderbrand ', 'Kent Weaver', 'Sara Rosenthal', 'Badge Stone', 'Coley Andrews', 'Dan Braatz ', 'Francisco Islands ', 'Andrew Saltoun ', 'Stephen Clearman', 'Lucas Braun', 'Ryan Robinson ', 'Jason Pananos', 'Jay Davis', 'Norman Duffett', 'Bernardo Garza Quiroga', 'Jan Simon', 'Capital Increase '",,,-100.315258,25.6802019,NaN,NaN,NaN
2010,Forest Park Capital  ,Traditional,2020-07-14,"St. Louis, MO, USA",Search,,,1498,www.forestpark-capital.com,,,,'Betsy Brandt',"'Greg Geronemus', 'David Rosner ', 'Will Bressman', 'Tiffany Augustyn', 'Rick Taketa', 'Kent Weaver', 'Rich Kelley', 'Royce Yudkoff'",,,-90.24111656024635,38.6529545,NaN,NaN,NaN
2011,Erdoni LLC  ,Traditional,2020-08-01,"Boston, Massachusetts, United States",Search,,,2010,https://www.erdoni-llc.com/,,,,'Chris Czarnowski',"'Timothy Bovard', 'Jeremy Silverman', 'Chris Fuller', 'Jay Madsen '",,,-71.0582912,42.3602534,NaN,NaN,NaN
2012,Connectus Capital  ,Traditional,,"São Paulo, SP, Brasil",Raise,,,2266,,,,,'Guilherme Afonso',,,,-46.6333824,-23.5506507,NaN,NaN,NaN
2013,Ocean Trail Partners  ,Traditional,2016-12-01,"Boston, MA, United States",Search,,,731,https://www.oceantrailpartners.com/,,,,'Amory Thorndike',"'Will Thorndike', 'Jason Pananos', 'Jay Davis', ""John O'Connell"", 'Kent Weaver', 'Jamie Turner ', 'Kirk Riedinger', 'Matthew Burr', 'Bill Egan ', 'Mark Egan ', 'Coley Andrews', 'Jim Southern', 'Brad Brown', 'Lanny Thorndike ', 'Lanny Thorndike ', 'Joe Niehaus', 'Gerald Risk', 'Rich Kelley', 'Jim Edmunds', 'David Carver', 'David Dodson', 'Susan Pohlmeyer', 'Michael Miles', 'Carlos Saez', 'Ashford Equity Partners ', 'Todd Tracey'","'Michael Suglia', 'Justin Yannix'",,-71.0582912,42.3602534,NaN,NaN,NaN
2014,Coyam Group  ,Traditional,2018-10-22,"Santiago, Chile",Inactive,,,987,https://www.coyamgroup.com/,,,,"'Guillermo Hirmas', 'Pablo Velarde'",,,,-70.6504502,-33.4377756,NaN,NaN,NaN
2015,Sultana Capital  ,Traditional,2019-09-02,"San Pedro Garza García, Nuevo Leon, Mexico",Search,,,1243,www.sultanacap.com,,,,"'Apolinar Toba', 'Santiago Valdez'","'Javier Paez', 'Angel Alvarez Cadavieco', 'Guillermo Zambrano', 'J.T. Fitzgerald', 'Andrew Saltoun ', 'Jamie Turner ', 'Will Thorndike', 'Tushar Shah', 'Kent Weaver', 'Lucas Braun', 'Ryan Robinson ', 'Gerald Risk', 'Sara Rosenthal', 'Jason Pananos', 'Jay Davis', 'Badge Stone', 'Macon Carroll', 'Orca Capital ', 'Coley Andrews', 'Bernardo Garza Quiroga', 'Francisco Islas ', 'Dan Braatz ', 'Jan Simon', 'Kevin Oxendine', 'Mark Hilderbrand ', 'Norman Duffett', 'Sam Duprey ', 'Francisco Islands ', 'Stephen Clearman'",,,-100.4022714,25.6651051,NaN,NaN,NaN
2016,Platinum Lakes Capital  ,Self Funded,2020-07-13,"Chicago, IL, USA",Explore,,,1499,,,,,'Casey Cruzon',,,,-87.6244212,41.8755616,NaN,NaN,NaN
