COUNTY,COUNT LOANS,SUM AVG VALUE LOANS
51570,34," $13,525,000 "
51117,30," $13,300,000 "
51595,0, $-   
51081,1," $675,000 "
51620,0, $-   
51670,23," $9,975,000 "
51147,3," $2,025,000 "
51037,13," $9,450,000 "
51011,34," $21,750,000 "
51083,15," $7,125,000 "
51031,33," $19,400,000 "
51770,237," $167,100,000 "
51161,25," $10,050,000 "
51023,90," $57,175,000 "
51067,149," $99,150,000 "
51775,112," $72,300,000 "
51035,9," $6,025,000 "
51141,24," $12,750,000 "
51143,53," $30,300,000 "
51089,27," $15,900,000 "
51155,9," $3,100,000 "
51063,27," $12,250,000 "
51121,117," $89,100,000 "
51019,111," $55,400,000 "
51163,12," $8,350,000 "
51045,14," $8,125,000 "
51021,18," $7,875,000 "
51005,5," $2,100,000 "
51071,7," $3,450,000 "
51690,0, $-   
51750,0, $-   
51520,30," $23,500,000 "
51169,6," $3,175,000 "
51191,76," $42,775,000 "
51195,24," $10,650,000 "
51051,12," $3,850,000 "
51027,15," $8,375,000 "
51105,10," $4,600,000 "
51167,24," $13,475,000 "
51173,17," $6,800,000 "
51720,9," $3,525,000 "
51077,24," $16,000,000 "
51197,30," $14,650,000 "
51185,57," $30,300,000 "
51640,0, $-   
51790,4," $1,850,000 "
51017,5," $6,175,000 "
51091,0, $-   
51530,0, $-   
51580,0, $-   
51678,0, $-   
51680,147," $96,525,000 "
51590,77," $46,350,000 "
54055,71," $43,125,000 "
54109,14," $5,200,000 "
54047,7," $3,450,000 "
54059,12," $5,550,000 "
54025,50," $30,750,000 "
54089,2," $925,000 "
54063,1," $250,000 "
54075,7," $4,675,000 "
54019,107," $65,350,000 "
54043,4," $1,425,000 "
54069,152," $98,950,000 "
54039,392," $276,800,000 "
54087,8," $4,100,000 "
54081,46," $24,575,000 "
54005,9," $11,275,000 "
54079,74," $69,225,000 "
54015,2," $500,000 "
54045,31," $11,150,000 "
54067,26," $17,675,000 "
54007,15," $10,775,000 "
54053,19," $20,300,000 "
54035,29," $13,150,000 "
54013,16," $13,875,000 "
54105,0, $-   
54021,10," $4,200,000 "
54003,87," $49,525,000 "
54037,39," $16,450,000 "
54065,4," $1,000,000 "
54027,4," $1,425,000 "
54099,107," $63,675,000 "
54011,161," $113,850,000 "
54009,10," $3,350,000 "
54051,7," $3,875,000 "
54103,12," $6,775,000 "
54029,57," $38,250,000 "
54107,122," $68,800,000 "
54073,2," $500,000 "
54085,9," $6,450,000 "
54095,10," $8,675,000 "
54097,2," $925,000 "
54041,10," $8,275,000 "
54001,95," $86,525,000 "
54101,6," $6,850,000 "
54083,46," $24,550,000 "
54093,6," $3,175,000 "
54077,29," $24,150,000 "
54033,143," $86,075,000 "
54017,0, $-   
54091,5," $3,775,000 "
54049,13," $6,600,000 "
54061,163," $84,100,000 "
54023,17," $7,200,000 "
54057,12," $5,525,000 "
54031,12," $10,025,000 "
54071,4," $1,425,000 "
37059,131," $67,050,000 "
37171,98," $58,675,000 "
37169,40," $17,925,000 "
37067,560," $363,075,000 "
37197,13," $8,600,000 "
37057,290," $172,200,000 "
37097,263," $170,950,000 "
37159,167," $124,000,000 "
37193,74," $32,825,000 "
37157,70," $51,725,000 "
37001,97," $50,625,000 "
37151,250," $155,350,000 "
37037,231," $148,125,000 "
37125,151," $95,775,000 "
37123,16," $8,200,000 "
37033,9," $5,200,000 "
37081,1175," $842,900,000 "
37153,26," $17,225,000 "
37145,22," $10,125,000 "
37135,460," $266,450,000 "
37063,551," $373,800,000 "
37085,160," $88,925,000 "
37105,8," $2,850,000 "
37101,224," $113,100,000 "
37183,2160," $1,406,300,000 "
37181,32," $16,325,000 "
37077,58," $29,650,000 "
37069,142," $67,350,000 "
37191,83," $41,675,000 "
37079,70," $45,500,000 "
37185,3," $1,600,000 "
37195,134," $79,875,000 "
37127,31," $13,650,000 "
37065,152," $80,750,000 "
37015,16," $5,275,000 "
37091,24," $18,775,000 "
37131,18," $16,450,000 "
37013,21," $5,675,000 "
37095,3," $1,175,000 "
37147,254," $156,175,000 "
37117,74," $37,250,000 "
37083,46," $29,200,000 "
37177,4," $1,850,000 "
37187,2," $925,000 "
37139,3," $1,175,000 "
37029,46," $26,175,000 "
37055,99," $48,975,000 "
37053,25," $8,375,000 "
37143,26," $13,150,000 "
37073,6," $1,925,000 "
37041,1," $250,000 "
37167,84," $48,700,000 "
37071,307," $203,325,000 "
37109,68," $33,950,000 "
37007,12," $8,775,000 "
37045,97," $52,650,000 "
37023,109," $90,450,000 "
37161,69," $38,575,000 "
37025,342," $198,850,000 "
37119,2508," $1,651,300,000 "
37035,371," $241,175,000 "
37179,470," $255,425,000 "
37149,12," $7,950,000 "
37111,77," $29,400,000 "
37051,221," $140,650,000 "
37093,118," $61,425,000 "
37017,41," $28,375,000 "
37163,47," $21,350,000 "
37047,50," $21,375,000 "
