,name,type,formed,location_x,stage,company,acquired,searchfund_index,searchWebsite,companyWebsite,industry,location_y,searchers,investors,associates
111,Clarum Capital  ,Traditional,20080606,"Mexico City, Mexico",Acquired,Alpha Credit,20101101,124,http://clarumcapital.com/,http://alphacredit.mx/,Finance,"Mexico City, Mexico","['José\xa0Luis Orozco', 'Augusto\xa0Alvarez']","['Tom\xa0Matlack', 'Jim\xa0Southern', 'Jeff\xa0Stevens', 'Ritz\xa0Steytler', 'Gerald\xa0Risk', 'Richard\xa0Augustyn', 'Michael\xa0De Anda ', 'Coley\xa0Andrews', 'Ashley\xa0Giesler', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Larry\xa0Dunn', 'Sandro\xa0Mina', 'Martin\xa0Steber']",['Miguel\xa0Garcia Ruiz']
112,Capstone Equity Partners  ,Traditional,20100505,"Charlotte, NC, United States",Acquired,Yoforia (frozen yogurt),20101111,196,,,Retail,"Atlanta, GA, United States",['Luke\xa0Tashie'],"['Sandro\xa0Mina', 'Martin\xa0Steber']",[]
113,Bosworth Capital Partners  ,Traditional,20081201,"Chicago, IL, United States",Acquired,Midwest Supplies,20101201,462,http://bosworthcapital.com/,http://www.midwestsupplies.com,Retail,"Chicago, IL, United States","['Matt\xa0Estep', 'David\xa0Kidd ']","['Michael\xa0Aubrey ', 'Daniel\xa0Henn ', 'Jeff\xa0Stevens', 'Tom\xa0Cassutt', 'David\xa0Lazier', 'Ashley\xa0Giesler', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Richard\xa0Augustyn', 'Larry\xa0Dunn']",['Mark\xa0Vanderheyden']
114,"Longleaf Capital Partners, LLC  ",Traditional,20090101,"Charleston, SC, United States",Acquired,"Implementing Technologies, LLC",20110101,395,http://www.longleafcapitalpartners.com/,http://www.implementingtech.com,Software,"Charleston, SC, United States","['Eric\xa0Thome ', 'Mark\xa0Henderson ', 'David\xa0Slenzak', 'Barclay\xa0McFadden ']","['Frank\xa0Genovese ', 'Jeff\xa0Manley ']",[]
115,Paulus Capital (Captive Search Fund for Quantum Energy Partners)  ,Single Sponsor,20100101,"Atlanta, GA, USA",Acquired,Ford Fry Restaurants,20110101,1258,https://www.pauluscapital.com/,https://www.fordfry.com/,Food,"Atlanta, GA, USA",['Nicholas\xa0Fraunfelder'],[],[]
116,Nashton Partners  ,Traditional,20080601,"Boston, MA, United States",Acquired,Vector Disease Control,20110101,409,http://www.nashtonpartners.com/,http://www.vdci.net/,Consumer Services,"Little Rock, AR 72202 ","['Jay\xa0Davis', 'Jason\xa0Pananos']","['Jim\xa0Southern', 'Tom\xa0Cassutt', 'David\xa0Lazier', 'Jeff\xa0Stevens', 'Ashley\xa0Giesler', 'Ashford\xa0Equity Partners ', 'Dewitt\xa0Thompson ', 'Ephriam\xa0Hoover ', 'David\xa0Dodson', 'Susan\xa0Pohlmeyer', 'Kent\xa0Weaver', 'Will\xa0Thorndike', 'Jim\xa0Wilder', 'Joe\xa0Niehaus', 'Mark\xa0Hilderbrand ', 'Coley\xa0Andrews', 'Jamie\xa0Turner ', 'Kirk\xa0Riedinger', 'Marc\xa0Bellaud ', 'Oak\xa0Drive Capital ', 'Tim\xa0Ludwig', 'Peter\xa0Francis ', 'Tcg\xa0Search Investors ', 'Robert\xa0Dahl ', 'William\xa0F ', 'Greg\xa0Matthews', 'Grant\xa0Schafle']",['Amory\xa0Thorndike']
117,Prospect Hill Ventures  ,Traditional,20090801,"51 Melcher St. Boston, MA 0221",Acquired,PW CLAIMS SERVICES,20110101,534,inactive: http://www.prospecthillventures.com/,,Business Services,"Boston, MA, United States",['Adam\xa0Ray '],[],[]
118,Sequential Capital Partners LLC  ,Traditional,20090501,"Morristown, NJ, United States",Acquired,Data Fusion Technologies (DF Tech),20110101,364,,http://www.dftech.com/,Business Services,"Ladera Ranch, CA, United States","['W.\xa0Todd Lawrence ', 'Ben\xa0Knoll ']","['Rafael\xa0Somoza', 'Robert\xa0Dahl ', 'José\xa0Stella', 'Craig\xa0Burr ', 'Ted\xa0McCarthy', 'Robert\xa0Parker ', 'Jim\xa0Southern', 'A.J.\xa0Wasserstein', 'Tim\xa0Ludwig', 'Joel\xa0Peterson', 'Aaron\xa0Gabbart', 'Sandro\xa0Mina', 'Scott\xa0Asen', 'Bill\xa0Egan ', 'Jim\xa0Ellis', 'Joseph\xa0Gorman ', 'Kent\xa0Weaver', 'Paul\xa0Davies', 'Rene\xa0Lajous', 'Chris\xa0Sekula', 'Natalie\xa0Cryer', 'Rich\xa0Kelley', 'Jim\xa0Edmunds', 'David\xa0Carver', 'Todd\xa0Tracey']",[]
119,Adirondack Growth Capital  ,Traditional,20090201,"Minneapolis, MN, United States",Acquired,Midwest Supplies,20110220,453,http://adirondackgrowthcapital.com/,https://www.midwestsupplies.com/,Retail,"Minneapolis, MN, United States",['David\xa0Kidd '],"['John\xa0Barrow ', 'Chuck\xa0Grant ', 'Todd\xa0Peterson ', 'Joel\xa0Peterson']",[]
120,"Vestige Capital, LLC  ",Traditional,20090801,"Mexico City, Mexico",Acquired,Bomi de Mexico,20110301,335,,http://www.medistik.com.mx/,Healthcare,"Mexico City, Mexico","['Mario\xa0Sicilia ', 'Jose Antonio\xa0Fernandez Garza-Laguera ']","['Joel\xa0Peterson', 'Jim\xa0Ellis', 'Craig\xa0Burr ', 'Rafael\xa0Somoza', 'José\xa0Stella', 'Pablo\xa0Gonzalez ', 'Jose\xa0Antonio Fernandez Carbajal ', 'Armando\xa0Garza Sada ', 'Rodrigo\xa0Herrera ', 'Javier\xa0Fernandez Carbajal ', 'Valiant\xa0Partners ']",[]
121,Auxo Management  ,Traditional,20100101,"Toronto, ON, Canada",Acquired,"UCIT Online Security (2011) and Stealth Monitoring (Dallas, 2016)",20110404,216,http://www.auxomanagement.com/,http://www.ucitonline.com/,Software,"Toronto, ON, Canada","['Erik\xa0Mikkelsen', 'Robert\xa0Cherun ']","['Doug\xa0Abbey ', 'Gordon\xa0Cheung ', 'Nestor\xa0Cruz ', 'Robert\xa0Dahl ', 'Sandro\xa0Mina', ""Michael F\xa0O'Connell"", 'Kausik\xa0Rajgopal ', 'Gerald\xa0Risk', 'Rafael\xa0Somoza', 'Martin\xa0Steber', 'José\xa0Stella', 'Richard\xa0Venn ', 'Kent\xa0Weaver', 'Steven\xa0Wheelwright', 'Brett\xa0Wilson ', 'Robert\xa0Chefitz ', 'Bill\xa0Polk ', 'Brandon\xa0Cope ', 'Joel\xa0Peterson', 'Dan\xa0Peterson ', 'David\xa0Carver', 'Jim\xa0Edmunds', 'Rich\xa0Kelley', 'Jim\xa0Southern', 'Coley\xa0Andrews', ""MK\xa0O'Connell""]",[]
122,Cetina Capital  ,Self Funded,20070101,"San Francisco, CA, United States",Acquired,Cyrun,20110501,593,http://www.cetinacapital.com/,http://cyrun.com/,Software,"Pleasanton, CA, United States",['Sarath\xa0Boyapati '],"['Sandro\xa0Mina', 'Will\xa0Thorndike']",[]
123,Abacus Partners  ,Traditional,20081201,"London, United Kingdom",Acquired,Servebase (later PXP),20110501,527,https://www.abacuspartners.co.uk/,http://www.pxp-solutions.com/,Business Services,"London, United Kingdom",['Ritz\xa0Steytler'],"['Chris\xa0Batterham ', 'Craig\xa0Burr ', 'Andrew\xa0Dixon ', 'Bill\xa0Egan ', 'Rob\xa0Johnson ', 'Frank\xa0Kenny ', 'Bryan\xa0Meehan ', 'Maurice\xa0Pinto ', 'Mike\xa0Steytler ', 'Kent\xa0Weaver', 'Simon\xa0Webster', 'Keith\xa0Willey ']",[]
124,Scottish American Capital  ,Traditional,20090606,"Los Angeles, CA, United States",Acquired,Yates and Associates,20110615,15,,http://www.scottishamerican.com,Insurance,"Santa Ana, CA, United States",['Paul\xa0Thomson'],"['Tom\xa0Cassutt', 'David\xa0Lazier', 'Kent\xa0Weaver', ""MK\xa0O'Connell"", ""Michael F\xa0O'Connell"", 'Jim\xa0Southern', 'Neil\xa0Rackman ', 'Peter\xa0Francis ', 'Ralph\xa0James', 'Steve\xa0Hollis ', 'Sandro\xa0Mina', 'Steven\xa0Wheelwright', 'Paul\xa0Rogers', 'Glenn\xa0Healey', 'Paul\xa0Davies', 'Rene\xa0Lajous', 'Chris\xa0Sekula', 'Joel\xa0Peterson', 'Ben\xa0Capell']","['Jordan\xa0Scheiman ', 'Nathan\xa0Israel', 'Cristian\xa0Joe', 'David\xa0Gibian ', 'Kiet\xa0Vo']"
125,Channelstone Capital Partners  ,Traditional,20050606,"Philadelphia, PA, United States",Acquired,Eyewitness Surveillance,20110707,187,,http://www.eyewitnesssurveillance.com/,Manufacturing,"Hanover, MD, United States","['R.T.\xa0Arnold', 'Rush\xa0McCloy']","['Aaron\xa0Gabbart', 'Joel\xa0Peterson', 'Sandro\xa0Mina', 'Martin\xa0Steber', 'Tom\xa0Cassutt', 'David\xa0Lazier']",['David\xa0Blue']
126,Yves Warnant - Search Fund  ,Single Sponsor,20100901,"Liège, Belgium",Acquired,Dauvister,20110801,586,www.valivoire.com,http://www.dauvister.com/,Construction,"Liège, Belgium",['Yves\xa0Warnant '],[],[]
127,Inman Square Capital  ,Traditional,20100909,"Cambridge, MA, United States",Acquired,Advanced Network Solutions,20110808,195,,http://www.ansolutions.com/,Business Services,"Nashville, TN, United States",['Max\xa0Sadler'],"['Jeff\xa0Stevens', 'Richard\xa0Augustyn', 'David\xa0Carver', 'Ashley\xa0Giesler', 'Greg\xa0Matthews', 'Grant\xa0Schafle', 'Larry\xa0Dunn', 'Bill\xa0Egan ', 'Peter\xa0Francis ', 'Peter\xa0Kurzina ', 'Jim\xa0Sharpe', 'Rafael\xa0Somoza', 'José\xa0Stella', 'Kent\xa0Weaver', 'Josh\xa0Weinstein', 'Paul\xa0Davies', 'Rene\xa0Lajous', 'Chris\xa0Sekula']",[]
